Timestamp,Raw,Filtered,BPM
1768600631.358656,147071,45642.048867219324,80
1768600631.9765198,-150000,71766.15238487236,97
1768600632.8749099,45759,79165.14360415489,66
1768600634.058181,-91969,94396.77582614933,50
1768600642.3471081,-23425,22374.71091054808,126
1768600643.127745,-55937,38885.18799932986,76
1768600644.085276,15487,29592.582196852672,62
1768600644.497462,69119,49072.3910726722,145
1768600645.150218,-150000,29364.08744562155,91
1768600645.570427,-61633,67975.36377741183,142
1768600646.571418,23295,43667.59613783425,59
1768600647.153928,26815,39495.18235243222,103
1768600648.0540469,23679,39225.363374557135,66
1768600651.3671,2751,43456.70330903294,41
1768600652.1162171,-30337,28447.183051894026,80
1768600652.583976,-8449,32614.354279000258,128
1768600653.166768,7359,30942.274217454815,102
1768600653.715467,49087,124296.45828762128,109
1768600654.624081,-33281,36237.164784445675,66
1768600655.692441,9279,29082.589421592194,56
1768600656.2907012,-24449,27033.239147563065,100
1768600657.130399,-1281,34985.082080177504,71
1768600659.85007,52607,38192.968394613745,54
1768600660.4443572,-6273,29789.87530691799,100
1768600661.262559,49983,28345.62038149085,73
1768600662.1309881,1791,44826.01232502069,69
1768600662.9749498,-6081,28523.36532424287,71
1768600663.99894,-10817,19688.312336495226,58
1768600664.6139798,-10177,37491.81179359986,97
1768600665.4368918,-9473,30146.873330942824,72
1768600666.213994,-5249,21150.551383862872,77
1768600666.95068,-12225,29331.932372882377,81
1768600667.711414,9151,21690.548397149574,78
1768600668.177621,-10497,20542.573690728757,128
1768600668.6226501,43583,21530.68505294078,134
1768600669.2949839,6143,36418.347863003786,89
1768600670.36542,52223,24076.078164985098,56
1768600671.1438642,-23617,34540.780916582415,77
1768600672.5363572,-19649,40385.862442553116,43
1768600673.0096471,73471,28427.229162281652,126
1768600673.532298,-2113,27756.135567613448,114
1768600674.151507,34495,56518.088447885166,96
1768600675.127156,59455,32793.76454674971,61
1768600675.599824,44799,42632.92798475332,126
1768600676.549675,-13569,21733.12529310804,63
1768600677.1373272,5951,21121.74727479764,102
1768600677.841568,-8769,24905.15580336791,85
1768600678.7122061,5055,20502.040798403177,68
1768600679.340063,20863,33943.41170024387,95
1768600680.1990678,-3009,20636.373585339257,69
1768600680.918371,-6337,18224.280322018145,83
1768600681.590064,-11585,22381.190540564632,89
1768600682.218538,1087,22004.410075739743,95
1768600683.310934,-26625,21272.685283142604,54
1768600683.903085,-28801,19779.040499580336,101
1768600684.7964458,33599,21768.47087449393,67
1768600685.411974,-10305,31970.218752104225,97
1768600686.323736,20287,22943.683732670925,65
1768600687.1283011,134271,69818.62702173862,74
1768600687.808332,-29505,87766.99582960691,88
1768600689.1272168,-23745,28653.450463180227,45
1768600689.6321878,-150000,43664.97307249348,118
1768600690.512256,138815,67170.51441273888,68
1768600691.236076,139839,72662.79830148914,82
1768600691.988929,-52673,90792.21563292593,79
1768600692.797333,-60225,73355.71976129581,74
1768600693.899528,-35905,84789.33385143471,54
1768600694.3661509,48191,95575.36626223313,128
1768600695.099184,-150000,70650.76554861561,81
1768600696.21229,-27841,59700.5260658551,53
1768600697.6110039,92415,77275.74263001764,42
1768600700.551312,-63105,46025.22846788698,52
1768600701.5504599,-80193,42718.12166063055,60
1768600702.4187908,-87617,43535.099673002536,69
1768600703.067002,26175,52313.608273658,92
1768600703.520583,-150000,111484.12528599484,132
1768600704.928868,150000,48233.52524213542,42
1768600705.705777,13759,60538.91943365591,77
1768600706.304995,-13313,62421.318701159784,100
1768600706.736188,150000,54628.33984336707,139
1768600707.6174972,-126593,69797.08669516101,68
1768600712.590026,59199,52868.62612179543,68
1768600713.9118268,-150000,77897.66645831401,45
1768600714.870263,-18945,55060.86466277416,62
1768600715.756447,-31169,35775.22192970925,67
1768600716.399817,57727,33356.1575755954,93
1768600719.0362508,-19201,39325.46492509638,69
1768600719.9919062,70847,33739.805482632124,62
1768600720.436436,77375,48487.786933288364,134
1768600721.026189,24447,34382.67381595563,101
1768600721.851892,-14465,30502.642860512315,72
1768600722.764386,-5313,28637.124326804453,65
1768600723.304134,44991,48712.61224676986,111
1768600724.106316,110015,51785.12423655888,74
1768600724.89785,-33153,62427.217634142056,75
1768600725.468744,28927,44729.681317310526,105
1768600726.69528,27199,66172.04051877605,48
1768600731.549789,23615,79839.03768511527,65
1768600732.093194,-2113,52372.894105775544,110
1768600732.884456,59903,59710.99433268442,75
1768600733.734515,22015,49108.12737891417,70
1768600739.791554,16703,36858.68406569669,81
1768600740.4066272,46079,28490.012402180604,97
1768600741.316854,-79873,28619.590687827094,65
1768600741.744815,75391,68071.6069017056,140
1768600742.4965382,-150000,26403.608399595174,79
1768600742.912371,-33345,105513.40379827168,144
1768600745.6579452,-62273,64227.791372977175,55
1768600746.0628,-68353,123529.48584213913,148
1768600747.2124019,-47681,73020.69022281225,52
1768600752.027304,-119233,100449.63504860061,111
1768600752.4332988,-65537,41488.706443423165,147
1768600753.7650619,57727,47048.2457490516,45
1768600759.8344991,-14977,32086.25724421666,74
1768600760.3044622,-19009,15601.231321671845,127
1768600760.734837,-3777,15340.63000355206,139
1768600761.3943129,-12801,19104.347108332906,90
1768600761.832497,-16193,16355.481886592146,136
