Timestamp,Raw,Filtered,BPM
1768600374.714271,34047,28025.755314830178,82
1768600375.21456,31103,19278.984861152203,119
1768600376.569098,44799,36550.80700998142,44
1768600377.65773,23039,24598.64374489318,55
1768600378.339596,-6465,25623.2076341482,87
1768600379.033331,52671,33171.79347289401,86
1768600379.84653,11327,20508.07486575522,73
1768600380.697545,10687,22304.783139890686,70
1768600381.6155121,-67201,18894.162089699355,65
1768600382.152732,-29569,41108.270565625004,111
1768600383.126057,46591,20733.36958280181,61
1768600383.939737,35455,33177.33938479741,73
1768600384.49146,-17281,28924.756761590987,108
1768600384.957498,-18369,23019.170688046994,128
1768600385.4818282,26943,57114.3484418124,114
1768600386.125151,-20353,27922.38176582242,93
1768600386.777023,-15489,33973.82608734459,92
1768600387.264531,-12993,31348.093557377008,123
1768600387.766676,54591,43991.06133923838,119
1768600388.271819,-23233,24699.234939412654,118
1768600389.0339699,-50753,59463.03756285285,78
1768600389.90854,25727,27456.666490732532,68
1768600390.4332328,43007,25249.77680130703,114
1768600391.111541,46655,37380.63288937913,88
1768600393.340814,4223,30217.364088455735,89
1768600393.994872,31999,50044.48917560518,91
1768600394.8988428,-33409,45545.543742933856,66
1768600395.554831,82303,132894.61913541425,91
1768600396.21354,-37441,158389.25823930756,91
1768600397.249855,88127,73838.45787347575,57
1768600397.914156,-23233,71397.31067041497,90
1768600398.7662349,14463,97573.26772318679,70
1768600399.192319,-8897,82160.19838323921,140
1768600402.816672,36159,117006.13673954445,88
1768600404.167725,-28609,58102.05887065598,44
1768600405.119303,58239,57043.67352078574,63
1768600405.973682,61119,47325.24538224099,70
1768600406.7190819,-36417,40168.713223592866,80
1768600407.1533592,11007,49446.761355760325,138
1768600407.5916212,101759,42768.6944940788,136
1768600408.007675,-53121,65067.2196579138,144
1768600408.5693362,-4865,56296.356461586496,106
1768600409.5986829,6783,47012.48142457785,58
1768600410.318395,-36865,52328.18242151804,83
1768600411.0402958,-117313,61075.224174577284,83
1768600412.42417,10815,63472.863954059874,43
1768600413.333923,-124865,87550.6594420522,65
1768600414.313324,150000,54514.033103236136,61
1768600415.050018,-104001,55072.888098049676,81
1768600416.2370071,150000,63928.51647943498,50
1768600416.688311,-15553,59821.06315987632,132
1768600417.4952471,-4481,112029.7952979111,74
1768600424.668705,-6977,37885.97774446081,82
1768600425.388531,-17409,17947.51826220224,83
1768600425.799426,-37377,51200.225844442015,146
1768600426.9063418,68735,23792.725693250675,54
1768600427.325548,-8641,59395.218152888105,143
1768600428.2643049,15423,39858.8302182835,63
1768600428.703037,113983,61027.31938218837,136
1768600429.2274828,-21377,47655.27853822719,114
1768600429.6476002,39167,61849.68077975372,142
1768600430.2797818,-24961,90547.20228315797,94
1768600431.07497,77119,78404.02190392176,75
1768600433.395015,-129793,55508.30695857987,108
1768600434.349246,-51841,46200.46691477925,62
1768600437.6095989,-150000,48120.245945248615,87
1768600438.518807,35903,77998.37926790336,65
1768600441.647962,-99905,62287.170982986114,94
1768600448.4532092,-21697,31398.090039447885,115
1768600449.380806,14975,20456.274082947784,64
1768600449.913846,9919,21760.869802601926,112
1768600450.787908,44991,29542.99665735048,68
1768600451.252574,-22017,32788.902739835976,129
1768600451.670659,16511,40871.921164758,143
1768600452.485313,15167,20786.230569453783,73
1768600453.3292549,17471,28439.00294381808,71
1768600453.970436,33087,33908.88100919638,93
1768600454.770814,-21889,29187.66103792634,74
1768600455.241819,38911,21714.832159518748,127
1768600455.7840178,41279,45188.67787294467,110
1768600456.2861812,-8769,24534.325918639555,119
1768600457.1382568,-7361,23259.321765781882,70
1768600457.887645,51903,21601.611627516275,80
1768600458.57836,-16129,21787.95744959631,86
1768600459.497262,-3585,19061.621203730996,65
1768600460.11953,2303,20398.587542371715,96
1768600460.889751,-35969,20928.197283917536,77
1768600461.752407,150000,93131.01909733648,69
1768600462.331607,-150000,28636.189384390356,103
1768600463.539069,17151,43959.693297497564,49
1768600464.071465,144255,43231.35274396589,112
1768600464.4761941,26431,80011.87690280257,148
1768600467.204222,115839,60336.45195367915,112
1768600468.040768,41023,59787.588685172566,71
1768600470.560098,-150000,94673.07967760059,97
1768600471.523173,68287,52401.715505250286,62
1768600472.0892959,87807,50666.70571657772,105
1768600472.6543229,-142337,64099.19866058626,106
1768600473.260334,64959,73518.18098554267,99
1768600474.6929228,-150000,64158.01006989461,41
1768600475.352227,150000,120019.36476104884,91
