Timestamp,Raw,Filtered,BPM,RR_Interval_ms
1768599608.667914,-204225,59341.26462903566,132,0.452
1768599609.9179971,44927,49364.25458223138,47,1.25
1768599610.379518,29503,70938.34809400245,130,0.461
1768599613.4681149,226559,1119242.6682556358,99,0.6
1768599613.922366,3576959,3658225.077671663,132,0.454
1768599614.475281,-3137,1205938.8220445684,108,0.553
1768599615.4679282,666047,1988025.5386365664,60,0.993
1768599615.884244,2795199,3064761.775896875,144,0.416
1768599617.218106,-3591233,3130107.4181670714,44,1.334
1768599639.268097,-478785,126809.95507959953,57,1.05
1768599639.6724029,-878785,138521.973969381,148,0.404
1768599641.017214,109631,128550.49224759862,44,1.345
1768599647.8231091,-36609,81785.86530093674,91,0.655
1768599659.0683079,-20225,9436.5561703536,110,0.543
1768599660.08569,3007,8514.72017804989,58,1.017
1768599660.679635,-17153,9116.999996072342,101,0.594
1768599661.4373188,18495,12577.11936924057,79,0.758
1768599661.867248,-53953,84524.02540006058,139,0.43
1768599662.285237,-791105,43684.03640517331,143,0.418
1768599663.685984,349439,212450.9371557936,42,1.401
1768599671.7218208,-23809,45741.27385695396,67,0.889
1768599672.1681821,30847,37856.35871897803,134,0.446
1768599675.11728,183615,80320.14835292168,120,0.5
1768599675.817496,5631,41068.38809495955,85,0.7
1768599676.833428,-13697,58093.180054485776,59,1.016
1768599677.718303,-152641,37587.02664637376,67,0.885
1768599678.46828,196735,81054.44476297623,80,0.75
1768599678.9183109,35519,94842.01848048564,133,0.45
1768599679.774127,-7233,70801.45969305179,70,0.856
1768599681.167577,-26305,50394.291431830316,43,1.393
1768599683.7798169,-149057,80058.03554392245,97,0.612
1768599684.668247,21183,244885.5533114904,67,0.888
1768599685.868605,-143425,127106.21137244045,49,1.2
1768599693.868284,103935,31618.01385820468,50,1.2
1768599694.37153,-792833,252041.47396093057,119,0.503
1768599694.818369,-368705,234999.7953999413,134,0.447
1768599696.222715,129727,165227.53722642906,42,1.404
1768599697.718327,545599,166962.44426484217,40,1.496
1768599698.594271,-84161,163188.08889659037,68,0.876
1768599699.3191419,-645441,666798.9743182885,82,0.725
1768599700.268353,121343,293792.1754847781,63,0.949
1768599701.518425,-62145,242905.5300697998,47,1.25
1768599702.668339,-961665,530213.7779990275,52,1.15
1768599708.268499,-169793,179536.77806733426,74,0.8
1768599713.056874,-607169,278046.0678477673,63,0.95
1768599722.209472,-3137,47476.89530004824,49,1.201
1768599728.898686,99263,51083.63777316522,57,1.04
1768599730.184472,-25409,72520.7840704239,46,1.286
1768599730.6372428,-9665,55533.61612469603,132,0.453
1768599744.806543,-13697,26844.40221060401,60,1.0
1768599745.297274,3583,21468.226950084267,122,0.491
1768599746.5775218,3199,38911.95498810229,46,1.28
1768599756.9741828,-34113,12723.660513152838,147,0.407
1768599757.716491,3135,8828.500484725384,80,0.742
1768599758.367318,639,9514.330968167347,92,0.651
1768599759.3171358,-3009,9986.648315300357,63,0.95
1768599759.867289,15935,39796.6932586358,109,0.55
1768599760.2673001,-440705,130870.66791184983,149,0.4
1768599761.3695219,-129281,157783.06571930757,54,1.102
1768599761.772983,15935,186095.94042923124,148,0.403
1768599762.2172642,-5377,245604.40544837495,135,0.444
1768599762.925295,-432321,158963.94055126663,84,0.708
1768599763.3673222,-75905,213917.23381130857,135,0.442
1768599764.41732,2303,210878.59331192035,57,1.05
1768599764.81733,775679,387982.3537221153,149,0.4
1768599765.267313,-586113,505904.95510506077,133,0.45
1768599765.726808,5114751,315231.91581074306,130,0.459
1768599766.1773398,-136321,634968.3402741209,133,0.451
