timestamp,raw,filtered,bpm,status
1768634360.628024,-190913,0,0,LEADS_OFF
1768634360.708638,-166785,0,0,LEADS_OFF
1768634360.738313,-150273,0,0,LEADS_OFF
1768634360.868245,-193537,0,0,LEADS_OFF
1768634360.869293,-193537,0,0,LEADS_OFF
1768634360.89978,-200000,0,0,LEADS_OFF
1768634360.929595,-200000,0,0,LEADS_OFF
1768634360.959857,-163265,0,0,LEADS_OFF
1768634361.156398,-200000,0,0,LEADS_OFF
1768634361.1860821,-179009,0,0,LEADS_OFF
1768634361.530008,171327,0,0,LEADS_OFF
1768634361.799742,-200000,0,0,LEADS_OFF
1768634361.840416,-200000,0,0,LEADS_OFF
1768634361.86743,16127,105800.83193995444,71.42610542221763,BEAT
1768634361.9630852,-183233,0,0,LEADS_OFF
1768634362.016911,-200000,0,0,LEADS_OFF
1768634362.0860648,-200000,0,0,LEADS_OFF
1768634362.113021,160703,0,0,LEADS_OFF
1768634362.2231538,172031,0,0,LEADS_OFF
1768634362.405664,188927,0,0,LEADS_OFF
1768634362.432253,195199,0,0,LEADS_OFF
1768634362.460387,178431,0,0,LEADS_OFF
1768634362.8321521,-126337,124297.86628612744,62.19126009725391,BEAT
1768634363.2438211,-78913,96025.2500817173,145.71946230613113,BEAT
1768634365.370859,-177473,0,0,LEADS_OFF
1768634365.399606,-196609,0,0,LEADS_OFF
1768634365.4486861,-200000,0,0,LEADS_OFF
1768634365.4758909,-200000,0,0,LEADS_OFF
1768634365.5513,-200000,0,0,LEADS_OFF
1768634365.596083,-200000,0,0,LEADS_OFF
1768634365.623521,-200000,0,0,LEADS_OFF
1768634365.665882,-198593,0,0,LEADS_OFF
1768634365.6947358,-200000,0,0,LEADS_OFF
1768634365.739603,-200000,0,0,LEADS_OFF
1768634365.767453,-200000,0,0,LEADS_OFF
1768634365.8131998,-200000,0,0,LEADS_OFF
1768634365.840385,-200000,0,0,LEADS_OFF
1768634365.882946,-200000,0,0,LEADS_OFF
1768634365.910965,-200000,0,0,LEADS_OFF
1768634365.952523,-200000,0,0,LEADS_OFF
1768634365.98111,-200000,0,0,LEADS_OFF
1768634366.0303009,-200000,0,0,LEADS_OFF
1768634366.0598001,200000,0,0,LEADS_OFF
1768634366.099884,200000,0,0,LEADS_OFF
1768634366.127808,-200000,0,0,LEADS_OFF
1768634366.17361,200000,0,0,LEADS_OFF
1768634366.201622,200000,0,0,LEADS_OFF
1768634366.2474089,200000,0,0,LEADS_OFF
1768634366.275658,200000,0,0,LEADS_OFF
1768634366.321089,200000,0,0,LEADS_OFF
1768634366.348518,200000,0,0,LEADS_OFF
1768634366.3948002,200000,0,0,LEADS_OFF
1768634366.422574,200000,0,0,LEADS_OFF
1768634366.464421,173439,0,0,LEADS_OFF
1768634366.64993,200000,0,0,LEADS_OFF
