Timestamp,Raw_Signal,Filtered_Signal,BPM,Event
1768599438.898416,-76481,47570.62513303027,60,
1768599438.9302661,9983,123082.52832512393,60,
1768599438.9671419,31551,125921.99875498985,60,
1768599438.9899478,-25601,88499.69520098635,60,
1768599439.019501,135231,53618.82986282434,60,
1768599439.0532072,-88065,48469.44047968882,60,
1768599439.080427,-3201,-12062.45889902596,60,
1768599439.130924,-116737,-208963.43215362905,60,
1768599439.147285,-450049,-211528.48712718202,60,
1768599439.170481,-12161,-179495.68045132086,60,
1768599439.2129312,-154753,18543.768538302294,60,
1768599439.230206,36415,74313.8766323169,60,
1768599439.260339,106175,163853.09391747066,60,
1768599439.290046,176959,216875.09563498068,60,
1768599439.3205419,245183,184083.5939051854,60,
1768599439.3207302,0,0,142.1275225891494,PVC_DETECTED
1768599439.364487,-315073,-32066.028328720906,60,
1768599439.3802218,74111,-171013.59271265185,60,
1768599439.4104042,-421697,-208702.5652163795,60,
1768599439.450455,-218241,-91814.37856910925,60,
1768599439.470516,-112449,-84975.42966256815,60,
1768599439.500561,-119937,-101.61953044156105,60,
1768599439.532365,-86337,42426.951844974545,60,
1768599439.560506,269183,98453.32478480994,60,
1768599439.6102002,-43905,4625.003576234027,60,
1768599439.6258,74111,-10307.762328959398,60,
1768599439.650472,-1665,-25020.68164397909,60,
1768599439.6804411,-10433,-36499.01157345164,60,
1768599439.7104871,-67201,-51944.783581355296,60,
1768599439.740126,-109569,-88684.97187918486,60,
1768599439.786346,-89857,-126697.77837010745,60,
1768599439.802898,-84417,-102493.30154758671,60,
1768599439.830422,-341505,-120917.21409186105,60,
1768599439.864104,-36545,-102356.94567518691,60,
1768599439.8900611,-263489,18366.452905845556,60,
1768599439.920557,-129,77291.65521049824,60,
1768599439.92083,0,0,99.99433390616774,PVC_DETECTED
1768599439.950193,-27905,75148.66399950928,60,
1768599439.980475,-89857,98860.73340946017,60,
1768599440.0279832,-237377,87333.61594055797,60,
1768599440.044121,29759,59602.87274032993,60,
1768599440.070017,42623,20.857404164023947,60,
1768599440.1098619,-8833,42598.15102767518,60,
1768599440.130477,-287105,12423.902072627572,60,
1768599440.160424,-213185,67646.5109277868,60,
1768599440.1918359,-144257,118285.94366872148,60,
1768599440.220476,115967,126371.2401360771,60,
1768599440.269643,-4225,163333.91535376952,60,
1768599440.284516,212543,190142.27506584008,60,
1768599440.310433,41215,134730.1981279851,60,
1768599440.347423,-5505,60563.85219659223,60,
1768599440.3695061,172671,5036.916963305619,60,
1768599440.3999438,107263,-34298.94944864329,60,
1768599440.433405,25535,-95259.08294597655,60,
1768599440.460503,97663,-92258.20242563308,60,
1768599440.490058,164159,-82646.53349135572,60,
1768599440.523527,-257,-59547.24888253575,60,
1768599440.5504808,23807,-23588.03348604875,60,
1768599440.58052,55295,-57022.025414075346,60,
1768599440.610395,91967,-54487.61390866388,60,
1768599440.6400661,110463,-51134.69540319848,60,
1768599440.6834161,106687,-104690.63284644774,60,
1768599440.700056,127,-105020.81886723569,60,
1768599440.7304351,-16193,-117175.97965531467,60,
1768599440.777534,15423,-90912.65048613801,60,
1768599440.793045,76799,-73272.06865166414,60,
1768599440.8205252,86399,-46018.36353298495,60,
1768599440.863533,101439,-25853.652938696534,60,
1768599440.880348,114175,-14333.861264348685,60,
1768599440.910387,106431,-9334.370374795668,60,
1768599440.945437,37823,-7566.683696665551,60,
1768599440.9704928,28159,-19360.32492502362,60,
1768599441.0005069,49151,-19786.43494998818,60,
1768599441.035499,76799,6945.583443032038,60,
1768599441.06046,89215,22227.160393368253,60,
1768599441.09004,69887,27427.605186559016,60,
1768599441.125643,58431,19333.755803289892,60,
1768599441.1505,43391,15899.371236788053,60,
1768599441.180435,-6593,3010.1607819556457,60,
1768599441.2198951,-88705,-43635.82820521685,60,
1768599441.240043,-104833,-28982.355371401998,60,
1768599441.270218,63039,4089.655022044607,60,
1768599441.30049,-113985,1500.3178357115974,60,
1768599441.330098,-112513,45254.247614166474,60,
1768599441.3836591,-29185,62592.54802167736,60,
1768599441.400127,-5441,93403.17646370779,60,
1768599441.419745,11199,82591.01694938687,40.55010339816948,
1768599441.449611,-61121,58470.66855870295,40.55010339816948,
1768599441.480201,33023,50682.965209131755,40.55010339816948,
1768599441.51052,10047,40894.90745535321,40.55010339816948,
1768599441.5598578,-115841,53280.2672031759,40.55010339816948,
1768599441.5767848,-112513,33600.91077004131,40.55010339816948,
1768599441.6004622,-71361,65312.449022796514,40.55010339816948,
1768599441.6459022,-5441,79594.0404205285,40.55010339816948,
1768599441.662441,5759,70151.41881462099,40.55010339816948,
1768599441.6900449,23871,68284.66610146302,40.55010339816948,
1768599441.7359328,40383,55336.26730406628,40.55010339816948,
1768599441.7537339,33855,41494.515722627555,40.55010339816948,
1768599441.7804868,16959,26145.92016841981,40.55010339816948,
1768599441.826028,28287,10408.385701265654,40.55010339816948,
1768599441.842106,37247,7273.065109513961,40.55010339816948,
1768599441.8700001,45951,2963.2827123603133,40.55010339816948,
1768599441.9161742,80575,-2458.1398791294037,40.55010339816948,
1768599441.932585,79295,-7056.138839071292,40.55010339816948,
1768599441.9603488,33535,-10951.785448654555,40.55010339816948,
