timestamp,raw,filtered,bpm,status
1768634738.441896,500000,0,0,LEADS_OFF
1768634738.4840379,500000,0,0,LEADS_OFF
1768634738.531517,500000,0,0,LEADS_OFF
1768634738.544516,500000,0,0,LEADS_OFF
1768634738.5738728,500000,0,0,LEADS_OFF
1768634738.603177,500000,0,0,LEADS_OFF
1768634738.642538,500000,0,0,LEADS_OFF
1768634738.670937,500000,0,0,LEADS_OFF
1768634738.712137,500000,0,0,LEADS_OFF
1768634738.748333,500000,0,0,LEADS_OFF
1768634738.781879,460223,0,0,LEADS_OFF
1768634738.809782,433343,0,0,LEADS_OFF
1768634738.8555079,500000,0,0,LEADS_OFF
1768634738.885411,343231,0,0,LEADS_OFF
1768634738.9293282,300991,0,0,LEADS_OFF
1768634738.96016,500000,0,0,LEADS_OFF
1768634739.076781,403903,0,0,LEADS_OFF
1768634739.107887,369215,0,0,LEADS_OFF
1768634746.859352,-129,17846.28596138218,85.28529904455803,BEAT
1768634747.267664,-18369,17803.24148489123,146.95182894000777,BEAT
1768634747.78021,22975,27520.95146625706,117.05469970975665,BEAT
1768634748.275481,-10177,22426.329383927816,121.15828632475134,BEAT
1768634748.739573,42943,26199.235752613247,129.3142024121075,BEAT
1768634749.17648,35903,19588.00965955999,137.31361916620378,BEAT
1768634749.6918101,-19073,35570.848059020325,116.42570673155882,BEAT
1768634750.488982,-15361,19412.228656758954,75.2724075015703,BEAT
1768634750.9216902,-17793,24508.55591122966,138.61610956731047,BEAT
1768634751.387819,40959,18083.955325565163,128.74961181971244,BEAT
1768634752.075583,-13633,20897.042670926396,87.22983207637292,BEAT
1768634752.907797,32383,25788.540535284897,72.09647920572421,BEAT
1768634753.6118212,24767,24546.62606389414,85.22245329004113,BEAT
1768634754.2420108,-14785,19560.44956572953,95.23022140821833,BEAT
1768634756.413685,-14145,36088.510181902944,101.81020835920815,BEAT
1768634757.326405,-5185,19764.09722976333,65.73699428382459,BEAT
1768634758.1442719,41663,28251.3743258102,73.36273382603646,BEAT
1768634758.725743,6591,20727.818844514462,103.19347620435944,BEAT
1768634759.4589171,-6017,36491.95563340616,81.83161546220586,BEAT
1768634759.932205,-15233,19465.117117735528,126.75046916032642,BEAT
1768634760.342998,26623,26577.660904178523,146.08598734988436,BEAT
1768634761.0627022,26303,21379.417752815163,83.36090629037066,BEAT
1768634761.477466,22847,18080.21954544284,144.67831758969734,BEAT
1768634761.9146821,-15617,30536.90444144356,137.22317160813856,BEAT
